Ex,No,Item,Reflexive,Feature,Attractor,Surprisal
3A,26,The male executive that the male reporter mentioned characterized [MASK] as a greedy entrepreneur.,himself,0F,M,3.08296924
3A,26,The male executive that the male reporter mentioned characterized [MASK] as greedy entrepreneurs.,herself,1F,MM,7.611266654
3A,26,The male executives that the male reporter mentioned characterized [MASK] as greedy entrepreneurs.,herself,2F,MM,7.759801018
3A,26,The male executive that the female reporter mentioned characterized [MASK] as a greedy entrepreneur.,himself,0F,MM,3.23215209
3A,26,The male executive that the female reporter mentioned characterized [MASK] as greedy entrepreneurs.,herself,1F,M,7.162779957
3A,26,The male executives that the female reporter mentioned characterized [MASK] as greedy entrepreneurs.,herself,2F,M,7.392035028
3A,27,The male sergeant that the male officer mentioned recorded [MASK] talking about the secret plot.,himself,0F,M,3.914221455
3A,27,The male sergeant that the male officer mentioned recorded [MASK] talking about the secret plot.,herself,1F,MM,6.822861874
3A,27,The male sergeants that the male officer mentioned recorded [MASK] talking about the secret plot.,herself,2F,MM,8.126289179
3A,27,The male sergeant that the female officer mentioned recorded [MASK] talking about the secret plot.,himself,0F,MM,4.307799752
3A,27,The male sergeant that the female officer mentioned recorded [MASK] talking about the secret plot.,herself,1F,M,5.86559754
3A,27,The male sergeants that the female officer mentioned recorded [MASK] talking about the secret plot.,herself,2F,M,6.884799699
3A,28,The male football player that the frat boy mentioned complimented [MASK] on the new dress.,himself,0F,M,5.630826067
3A,28,The male football player that the frat boy mentioned complimented [MASK] on the new dress.,herself,1F,MM,6.306542402
3A,28,The male football players that the frat boy mentioned complimented [MASK] on the new dress.,herself,2F,MM,6.792942068
3A,28,The male football player that the frat girl mentioned complimented [MASK] on the new dress.,himself,0F,MM,5.968298792
3A,28,The male football player that the frat girl mentioned complimented [MASK] on the new dress.,herself,1F,M,5.474588337
3A,28,The male football players that the frat girl mentioned complimented [MASK] on the new dress.,herself,2F,M,6.18475645
3A,29,The male hiker that the male member found taught [MASK] how to build a fire.,himself,0F,M,5.862698033
3A,29,The male hiker that the male member found taught [MASK] how to build a fire.,herself,1F,MM,8.996606488
3A,29,The male hikers that the male member found taught [MASK] how to build a fire.,herself,2F,MM,10.77581423
3A,29,The male hiker that the female member found taught [MASK] how to build a fire.,himself,0F,MM,6.455921548
3A,29,The male hiker that the female member found taught [MASK] how to build a fire.,herself,1F,M,7.805520826
3A,29,The male hikers that the female member found taught [MASK] how to build a fire.,herself,2F,M,9.457952939
3A,30,The male producer that the male rapper mentioned photographed [MASK] on the large stage.,himself,0F,M,1.600999302
3A,30,The male producer that the male rapper mentioned photographed [MASK] on the large stage.,herself,1F,MM,3.939599432
3A,30,The male producers that the male rapper mentioned photographed [MASK] on the large stage.,herself,2F,MM,5.913845895
3A,30,The male producer that the female rapper mentioned photographed [MASK] on the large stage.,himself,0F,MM,1.849080188
3A,30,The male producer that the female rapper mentioned photographed [MASK] on the large stage.,herself,1F,M,3.51900593
3A,30,The male producers that the female rapper mentioned photographed [MASK] on the large stage.,herself,2F,M,5.434060269
3A,31,The male professor that the male officer reported nominated [MASK] for the prestigious award.,himself,0F,M,3.487174365
3A,31,The male professor that the male officer reported nominated [MASK] for the prestigious award.,herself,1F,MM,5.757163806
3A,31,The male professors that the male officer reported nominated [MASK] for the prestigious award.,herself,2F,MM,6.758005554
3A,31,The male professor that the female officer reported nominated [MASK] for the prestigious award.,himself,0F,MM,3.694241208
3A,31,The male professor that the female officer reported nominated [MASK] for the prestigious award.,herself,1F,M,4.883965724
3A,31,The male professors that the female officer reported nominated [MASK] for the prestigious award.,herself,2F,M,5.858315913
3A,32,The male basketball coach that the teenage boy mentioned that motivated [MASK] to win the championship.,himself,0F,M,6.78339262
3A,32,The male basketball coach that the teenage boy mentioned that motivated [MASK] to win the championship.,herself,1F,MM,10.52286234
3A,32,The male basketball coaches that the teenage boy mentioned that motivated [MASK] to win the championship.,herself,2F,MM,11.36312182
3A,32,The male basketball coach that the teenage girl mentioned that motivated [MASK] to win the championship.,himself,0F,MM,8.142807592
3A,32,The male basketball coach that the teenage girl mentioned that motivated [MASK] to win the championship.,herself,1F,M,7.856306894
3A,32,The male basketball coaches that the teenage girl mentioned that motivated [MASK] to win the championship.,herself,2F,M,7.88327784
3A,33,The shy boy that the male student mentioned embarrassed [MASK] in the school cafeteria.,himself,0F,M,4.203409962
3A,33,The shy boy that the male student mentioned embarrassed [MASK] in the school cafeteria.,herself,1F,MM,6.228424863
3A,33,The shy boys that the male student mentioned embarrassed [MASK] in the school cafeteria.,herself,2F,MM,7.464482242
3A,33,The shy boy that the female student mentioned embarrassed [MASK] in the school cafeteria.,himself,0F,MM,4.338482278
3A,33,The shy boy that the female student mentioned embarrassed [MASK] in the school cafeteria.,herself,1F,M,5.966165511
3A,33,The shy boys that the female student mentioned embarrassed [MASK] in the school cafeteria.,herself,2F,M,7.150184192
3A,34,The busy waiter that the male customer complained didn't notice [MASK] standing by the table.,himself,0F,M,6.6534277
3A,34,The busy waiter that the male customer complained didn't notice [MASK] standing by the table.,herself,1F,MM,8.685699011
3A,34,The busy waiteres that the male customer complained didn't notice [MASK] standing by the table.,herself,2F,MM,8.824014399
3A,34,The busy waiter that the female customer complained didn't notice [MASK] standing by the table.,himself,0F,MM,7.1728308
3A,34,The busy waiter that the female customer complained didn't notice [MASK] standing by the table.,herself,1F,M,8.108526344
3A,34,The busy waiteres that the female customer complained didn't notice [MASK] standing by the table.,herself,2F,M,8.329405125
3A,35,The male guest that the male chef met gave [MASK] an extra large tip for the excellent meal.,himself,0F,M,7.014723915
3A,35,The male guest that the male chef met gave [MASK] an extra large tip for the excellent meal.,herself,1F,MM,8.544755447
3A,35,The male guests that the male chef met gave [MASK] an extra large tip for the excellent meal.,herself,2F,MM,9.264916129
3A,35,The male guest that the female chef met gave [MASK] an extra large tip for the excellent meal.,himself,0F,MM,7.407878349
3A,35,The male guest that the female chef met gave [MASK] an extra large tip for the excellent meal.,herself,1F,M,7.827814328
3A,35,The male guests that the female chef met gave [MASK] an extra large tip for the excellent meal.,herself,2F,M,8.341224742
3A,36,The teenage boy that the male suspect mentioned that revealed [MASK] as the real criminal.,himself,0F,M,0.167930719
3A,36,The teenage boy that the male suspect mentioned that revealed [MASK] as the real criminals.,herself,1F,MM,5.640267113
3A,36,The teenage boys that the male suspect mentioned that revealed [MASK] as the real criminals.,herself,2F,MM,9.403250102
3A,36,The teenage boy that the female suspect mentioned that revealed [MASK] as the real criminal.,himself,0F,MM,0.22036584
3A,36,The teenage boy that the female suspect mentioned that revealed [MASK] as the real criminals.,herself,1F,M,4.731163906
3A,36,The teenage boys that the female suspect mentioned that revealed [MASK] as the real criminals.,herself,2F,M,7.756227667
3A,37,The male patient that the male doctor treated accidently hurt [MASK] while playing sports in the park.,himself,0F,M,0.449011842
3A,37,The male patient that the male doctor treated accidently hurt [MASK] while playing sports in the park.,herself,1F,MM,3.351222055
3A,37,The male patients that the male doctor treated accidently hurt [MASK] while playing sports in the park.,herself,2F,MM,5.004114679
3A,37,The male patient that the female doctor treated accidently hurt [MASK] while playing sports in the park.,himself,0F,MM,0.505621978
3A,37,The male patient that the female doctor treated accidently hurt [MASK] while playing sports in the park.,herself,1F,M,2.638323827
3A,37,The male patients that the female doctor treated accidently hurt [MASK] while playing sports in the park.,herself,2F,M,4.350595605
3A,38,The male doctor that the male lawyer suspected recently defended [MASK] against the false accusations.,himself,0F,M,0.535424507
3A,38,The male doctor that the male lawyer suspected recently defended [MASK] against the false accusations.,herself,1F,MM,2.678491923
3A,38,The male doctors that the male lawyer suspected recently defended [MASK] against the false accusations.,herself,2F,MM,4.918788336
3A,38,The male doctor that the female lawyer suspected recently defended [MASK] against the false accusations.,himself,0F,MM,0.494505201
3A,38,The male doctor that the female lawyer suspected recently defended [MASK] against the false accusations.,herself,1F,M,2.227323959
3A,38,The male doctors that the female lawyer suspected recently defended [MASK] against the false accusations.,herself,2F,M,4.642218324
3A,39,The father that the son loved often blamed [MASK] for the recent accident.,himself,0F,M,1.089503966
3A,39,The father that the son loved often blamed [MASK] for the recent accident.,herself,1F,MM,7.612354688
3A,39,The fathers that the son loved often blamed [MASK] for the recent accident.,herself,2F,MM,7.519136742
3A,39,The father that the daughter loved often blamed [MASK] for the recent accident.,himself,0F,MM,2.186569258
3A,39,The father that the daughter loved often blamed [MASK] for the recent accident.,herself,1F,M,3.933811184
3A,39,The fathers that the daughter loved often blamed [MASK] for the recent accident.,herself,2F,M,4.907174313
3A,40,The male priest that the male child respected recently motivated [MASK] to learn more about water crisis in Africa.,himself,0F,M,8.430702147
3A,40,The male priest that the male child respected recently motivated [MASK] to learn more about water crisis in Africa.,herself,1F,MM,8.927137666
3A,40,The male priests that the male child respected recently motivated [MASK] to learn more about water crisis in Africa.,herself,2F,MM,9.25068683
3A,40,The male priest that the female child respected recently motivated [MASK] to learn more about water crisis in Africa.,himself,0F,MM,9.509589668
3A,40,The male priest that the female child respected recently motivated [MASK] to learn more about water crisis in Africa.,herself,1F,M,8.729007175
3A,40,The male priests that the female child respected recently motivated [MASK] to learn more about water crisis in Africa.,herself,2F,M,8.988832446
3A,41,The male employee that the male executive recommended eagerly introduced [MASK] to the celebrity at the charity event. ,himself,0F,M,3.003816311
3A,41,The male employee that the male executive recommended eagerly introduced [MASK] to the celebrity at the charity event. ,herself,1F,MM,3.933121438
3A,41,The male employees that the male executive recommended eagerly introduced [MASK] to the celebrity at the charity event. ,herself,2F,MM,5.410485302
3A,41,The male employee that the female executive recommended eagerly introduced [MASK] to the celebrity at the charity event. ,himself,0F,MM,3.198954331
3A,41,The male employee that the female executive recommended eagerly introduced [MASK] to the celebrity at the charity event. ,herself,1F,M,3.766609927
3A,41,The male employees that the female executive recommended eagerly introduced [MASK] to the celebrity at the charity event. ,herself,2F,M,5.152918481
3A,42,The male student that the male teacher praised recently taught [MASK] how to read Latin using a smartphone app.,himself,0F,M,5.774719275
3A,42,The male student that the male teacher praised recently taught [MASK] how to read Latin using a smartphone app.,herself,1F,MM,6.53761379
3A,42,The male students that the male teacher praised recently taught [MASK] how to read Latin using a smartphone app.,herself,2F,MM,7.137310404
3A,42,The male student that the female teacher praised recently taught [MASK] how to read Latin using a smartphone app.,himself,0F,MM,5.856227739
3A,42,The male student that the female teacher praised recently taught [MASK] how to read Latin using a smartphone app.,herself,1F,M,6.128779388
3A,42,The male students that the female teacher praised recently taught [MASK] how to read Latin using a smartphone app.,herself,2F,M,6.924244841
3A,43,The actor that the male fan admired proudly praised [MASK] for the terrific movie.,himself,0F,M,3.82649183
3A,43,The actor that the male fan admired proudly praised [MASK] for the terrific movie.,herself,1F,MM,6.103005874
3A,43,The actors that the male fan admired proudly praised [MASK] for the terrific movie.,herself,2F,MM,6.141206119
3A,43,The actor that the female fan admired proudly praised [MASK] for the terrific movie.,himself,0F,MM,4.411326092
3A,43,The actor that the female fan admired proudly praised [MASK] for the terrific movie.,herself,1F,M,4.972762776
3A,43,The actors that the female fan admired proudly praised [MASK] for the terrific movie.,herself,2F,M,5.100140633
3A,44,The waiter that the male chef hired repeatedly reminded [MASK] about the outstanding orders.,himself,0F,M,6.119025437
3A,44,The waiter that the male chef hired repeatedly reminded [MASK] about the outstanding orders.,herself,1F,MM,7.216853311
3A,44,The waiters that the male chef hired repeatedly reminded [MASK] about the outstanding orders.,herself,2F,MM,7.787363248
3A,44,The waiter that the female chef hired repeatedly reminded [MASK] about the outstanding orders.,himself,0F,MM,6.677048361
3A,44,The waiter that the female chef hired repeatedly reminded [MASK] about the outstanding orders.,herself,1F,M,6.738802597
3A,44,The waiters that the female chef hired repeatedly reminded [MASK] about the outstanding orders.,herself,2F,M,7.413568927
3A,45,The male football player that the male fan loved secretly blamed [MASK] for losing the difficult competition.,himself,0F,M,1.916954772
3A,45,The male football player that themale  fan loved secretly blamed [MASK] for losing the difficult competition.,herself,1F,MM,4.505204473
3A,45,The male football players that the male fan loved secretly blamed [MASK] for losing the difficult competition.,herself,2F,MM,4.920371199
3A,45,The male football player that the female fan loved secretly blamed [MASK] for losing the difficult competition.,himself,0F,MM,2.108489132
3A,45,The male football player that themale  fan loved secretly blamed [MASK] for losing the difficult competition.,herself,1F,M,4.505204473
3A,45,The male football players that the female fan loved secretly blamed [MASK] for losing the difficult competition.,herself,2F,M,4.098894067
3A,46,The male clerk that the male boss adored proudly introduced [MASK] to the wealthy client.,himself,0F,M,3.041431471
3A,46,The male clerk that the male boss adored proudly introduced [MASK] to the wealthy client.,herself,1F,MM,3.955601358
3A,46,The male clerks that the male boss adored proudly introduced [MASK] to the wealthy client.,herself,2F,MM,5.324920501
3A,46,The male clerk that the female boss adored proudly introduced [MASK] to the wealthy client.,himself,0F,MM,3.144151904
3A,46,The male clerk that the female boss adored proudly introduced [MASK] to the wealthy client.,herself,1F,M,3.581092515
3A,46,The male clerks that the female boss adored proudly introduced [MASK] to the wealthy client.,herself,2F,M,4.893491676
